dataset,feature,overall_egregious_rate,egregious_when_changed,egregious_when_unchanged,n_changed,n_unchanged,relative_risk,rr_ci_low,rr_ci_high,change_effect
compas,charge_degree,0.208,0.3,0.18641975308641975,190,810,1.609271523178808,1.218045112781955,2.081226688769167,0.092
compas,age_cat,0.208,0.23890784982935154,0.19519094766619519,293,707,1.2239699262996488,0.938355597342087,1.5646597696245732,0.030907849829351547
compas,priors_bin,0.208,0.23076923076923078,0.18996415770609318,442,558,1.2148040638606679,0.9525709584533114,1.5579089246173101,0.02276923076923079
compas,juv_counts,0.208,0.21604938271604937,0.2064439140811456,162,838,1.046528223792193,0.7274196331748415,1.4167649602893764,0.00804938271604938
compas,race,0.208,0.18426103646833014,0.23382045929018788,521,479,0.7880449684672334,0.6152812638417245,0.9993323875490279,-0.02373896353166985
compas,sex,0.208,0.143646408839779,0.2222222222222222,181,819,0.6464088397790055,0.4180484326207063,0.9101733663554963,-0.06435359116022099
