dataset,model,total,with_explanation_accuracy,without_explanation_accuracy,simulatability_gain,gain_ci_lower,gain_ci_upper,with_ci_lower,with_ci_upper,without_ci_lower,without_ci_upper,normalized_gain,norm_gain_ci_lower,norm_gain_ci_upper,precision,precision_ci_lower,precision_ci_upper,precision_without,precision_without_ci_lower,precision_without_ci_upper,recall,recall_ci_lower,recall_ci_upper,recall_without,recall_without_ci_lower,recall_without_ci_upper,diff_pct,both_correct,both_wrong,only_with_correct,only_without_correct
attrition,Qwen/Qwen3-8B_True,1000,73.6,53.5,20.099999999999994,15.690859856545622,24.233657045229748,70.4432880539404,76.59844183383004,50.44154479523205,56.90921938046136,43.22580645161289,35.38297872340424,50.443599165070985,43.85245901639344,37.33841522003715,49.622760554603516,75.81967213114754,70.25810755336617,81.09637605042016,83.2010582010582,80.39751116368154,86.12210805504013,46.2962962962963,42.76012781591143,50.25648312093325,24.4,432,161,304,103
bank_marketing,Qwen/Qwen3-8B_True,1000,84.89999999999999,54.1,30.79999999999999,27.6816343973555,34.09997776061052,82.2169205665601,87.42456234412462,50.7460485184696,57.252777261318215,67.1023965141612,61.806871359201885,72.09961432481498,0.0,0.0,0.0,50.0,0.0,100.0,85.07014028056112,82.40401169351017,87.64481581359013,54.10821643286573,50.78034359435458,57.21624653158335,0.2,512,122,337,29
breast_cancer_recurrence,Qwen/Qwen3-8B_True,1000,69.19999999999999,63.6,5.599999999999987,1.6556980810485091,9.281489996797525,65.3944362353667,72.65278140222686,60.097442095617275,67.08660128963184,15.38461538461535,4.949529668938369,24.050816363969936,59.72222222222222,52.892436383732324,65.85382244951482,77.77777777777779,72.5760585674713,82.84904485049834,74.53125,70.22132494186634,78.93916347562994,55.625,50.78809922393605,60.82682072267244,36.0,553,225,139,83
heart_disease,Qwen/Qwen3-8B_True,1000,83.3,77.7,5.599999999999994,2.9931826890631457,8.245731701953599,80.22992876197746,86.11751550560732,74.5433437844673,80.80516340227985,25.112107623318362,14.487577639751592,35.48589553246053,74.47916666666666,66.98609472824609,82.29238604972375,78.64583333333334,71.83479780801208,84.78357919254658,85.39603960396039,82.05421625391965,88.73983720773911,77.47524752475248,73.70942713047977,81.39869411023831,19.2,736,126,97,41
income,Qwen/Qwen3-8B_True,1000,75.0,67.10000000000001,7.8999999999999915,5.46509246796653,10.577037654909427,71.97889486750873,77.83276364733086,63.91025356410546,70.05244863664552,24.01215805471123,16.827230077539614,30.9694104560623,83.64312267657994,79.08592159040742,88.12273657691702,87.36059479553904,83.39601130846292,91.54551470588235,71.81942544459645,67.97817951242007,75.34520047290461,59.64432284541724,55.69540585996282,63.62340015868182,26.900000000000002,618,197,132,53
moral_machines,Qwen/Qwen3-8B_True,1000,73.6,71.5,2.0999999999999943,-0.29999999999999716,4.599999999999994,70.6975,76.2,68.60000000000001,74.2,7.368421052631559,-1.0956081358156209,14.935442464512255,48.53932584269663,43.85485112255188,52.941799601196415,47.19101123595505,42.28183934065584,51.61373290853577,93.69369369369369,91.52802646571618,95.61255890514724,90.990990990991,88.51830241372431,93.3209731217725,44.5,650,199,86,65
pima_diabetes,Qwen/Qwen3-8B_True,1000,84.0,79.80000000000001,4.199999999999989,1.955824630593485,6.674581692442533,81.41541469438157,86.5105092434242,76.98417671941094,82.39953454588577,20.792079207920747,9.952482568670746,30.732645403377152,62.79863481228669,56.12090290661719,69.45502392344497,75.42662116040955,69.36349101677202,81.16459496025706,92.78642149929279,90.84501924336719,94.75207459672946,81.61244695898161,78.17750068222976,84.92983200407264,29.299999999999997,745,107,95,53
