model,total,with_explanation_accuracy,without_explanation_accuracy,simulatability_gain,gain_ci_lower,gain_ci_upper,with_ci_lower,with_ci_upper,without_ci_lower,without_ci_upper,normalized_gain,norm_gain_ci_lower,norm_gain_ci_upper,precision,precision_ci_lower,precision_ci_upper,precision_without,precision_without_ci_lower,precision_without_ci_upper,recall,recall_ci_lower,recall_ci_upper,recall_without,recall_without_ci_lower,recall_without_ci_upper,diff_pct,both_correct,both_wrong,only_with_correct,only_without_correct
Qwen/Qwen3-0.6B_True,6292,66.46535282898918,63.97012078830261,2.495232040686574,1.2085117598864432,3.8377566472736695,65.11215740215886,67.85273197120748,62.59373120791298,65.34179641462859,6.925452139391232,3.4169503171851723,10.42187782093637,35.73298429319372,33.39815627689202,38.227612132846204,55.10471204188482,52.593395484474904,57.77685066785042,76.32241813602015,74.80265955407464,77.80144726285447,66.81360201511335,65.12447021466699,68.53764353144383,24.284806102987922,3362,1447,820,663
Qwen/Qwen3-4B_True,6972,76.01835915088927,65.20367183017785,10.814687320711414,9.472450094813551,11.971841155234657,74.84707296390796,77.1321997001175,63.98295629236678,66.50392120329144,31.079967023907656,27.908888583865995,33.80467330874665,57.20476706392199,54.579800868574985,59.770218149006574,68.03900325027085,65.77141054776271,70.5108808021586,82.79360124853687,81.61324885583755,84.0268567924768,64.18259851736246,62.640638950239946,65.8531073105588,26.47733792312106,4093,1219,1207,453
Qwen/Qwen3-8B_True,7000,77.65714285714286,66.75714285714285,10.900000000000006,9.610106166514514,12.070976061960781,76.49831088114063,78.77552349064625,65.57946185196626,67.9882640264797,32.78899871078643,29.342434705540214,35.90652249318924,60.387811634349035,57.820854739230704,62.81212608182153,71.0803324099723,68.84439262819875,73.2450034547176,83.65736284889317,82.46600148858529,84.83106662646355,65.25505293551493,63.8057479992444,66.83608962613816,25.785714285714285,4246,1137,1190,427
