dataset,feature,overall_answer_change_rate,answer_change_when_changed,answer_change_when_unchanged,n_changed,n_unchanged,relative_risk,rr_ci_low,rr_ci_high
compas,priors_bin,0.295,0.4253393665158371,0.1917562724014337,442,558,2.2181249207087577,1.815962286376725,2.737508930697785
compas,juv_counts,0.295,0.3950617283950617,0.2756563245823389,162,838,1.4331676553898776,1.1371328224776502,1.7767723343931072
compas,charge_degree,0.295,0.3,0.2938271604938272,190,810,1.0210084033613445,0.7818892208687658,1.2880279955207166
compas,age_cat,0.295,0.23890784982935154,0.31824611032531824,293,707,0.750701554797118,0.5827846144102706,0.9358838859671212
compas,race,0.295,0.2437619961612284,0.35073068893528186,521,479,0.6950118819120737,0.5681597619098967,0.8412680491262404
compas,sex,0.295,0.19889502762430938,0.3162393162393162,181,819,0.6289383305957892,0.44562358862914614,0.8330289650708522
